排名,基金代码,基金名称,基金类型,年化收益率 (%),年化波动率 (%),夏普比率,贝塔系数,最大回撤 (%),管理费 (%),最新净值,实时估值,综合评分,行业分布,行业集中度 (%)
1,022003,博道大盘成长股票A,股票型,83.07,20.4,3.92,0.07,-10.79,1.5,1.461,1.3702,3.72,[],0
2,022004,博道大盘成长股票C,股票型,81.89,20.4,3.87,0.07,-10.82,1.5,1.4551,1.3647,3.67,[],0
3,022754,易方达科鑫量化选股股票发起式A,股票型,59.44,20.59,2.74,0.01,-13.62,1.5,1.4032,1.3608,2.66,[],0
4,022755,易方达科鑫量化选股股票发起式C,股票型,58.77,20.59,2.71,0.01,-13.65,1.5,1.3989,1.3568,2.63,[],0
5,022327,宏利高端装备股票A,股票型,44.23,11.11,3.71,-0.05,-3.21,1.5,1.2472,1.2677,2.49,[],0
6,022328,宏利高端装备股票C,股票型,43.63,11.12,3.65,-0.05,-3.21,1.5,1.2441,1.2647,2.45,[],0
7,023098,安信消费医药股票C,股票型,52.94,20.56,2.43,-0.05,-9.08,1.5,1.4756,1.4832,2.37,[],0
8,023178,安信价值精选股票C,股票型,47.73,19.15,2.34,0.2,-12.84,1.5,4.4563,4.1759,2.18,[],0
9,022868,英大国企改革C,股票型,46.16,20.86,2.07,0.15,-13.03,1.5,2.0407,1.936,2.06,[],0
10,022292,前海开源优选领航股票A,股票型,42.16,15.95,2.45,-0.06,-9.7,1.5,1.2295,1.2237,2.05,[],0
11,022293,前海开源优选领航股票C,股票型,41.45,15.96,2.41,-0.06,-9.72,1.5,1.2259,1.2202,2.02,[],0
12,021313,景顺长城沪港深精选股票C,股票型,38.8,19.04,1.88,0.2,-14.96,1.5,3.515,3.3555,1.78,[],0
13,023188,景顺长城量化新动力股票C,股票型,35.03,14.65,2.19,-0.07,-10.56,1.5,1.946,1.9283,1.76,[],0
14,021316,民生加银智选成长股票A,股票型,39.8,22.8,1.61,-0.0,-11.65,1.5,1.4568,1.4358,1.73,[],0
15,021317,民生加银智选成长股票C,股票型,39.22,22.8,1.59,-0.0,-11.66,1.5,1.45,1.4292,1.7,[],0
16,022299,安信周期优选股票型发起A,股票型,36.97,19.94,1.7,-0.0,-14.29,1.5,1.3079,1.3209,1.67,[],0
17,022300,安信周期优选股票型发起C,股票型,36.22,19.95,1.67,-0.0,-14.48,1.5,1.3018,1.3149,1.64,[],0
18,021830,国寿安保农业产业股票发起式A,股票型,33.41,18.45,1.65,-0.01,-11.23,1.5,1.3634,1.3356,1.55,[],0
19,021831,国寿安保农业产业股票发起式C,股票型,32.71,18.46,1.61,-0.01,-11.35,1.5,1.3557,1.3282,1.51,[],0
20,000979,景顺长城沪港深精选股票A,股票型,30.75,15.69,1.77,0.48,-14.73,1.5,3.549,3.3813,1.5,[],0
21,021605,富国消费精选30股票C,股票型,31.99,22.47,1.29,-0.11,-12.84,1.5,1.0592,1.064,1.4,[],0
22,020258,鹏华优选价值股票C,股票型,24.12,16.1,1.31,-0.04,-14.85,1.5,1.4472,1.4695,1.17,[],0
23,020772,中信建投量化选股股票A,股票型,24.56,17.78,1.21,0.08,-13.21,1.5,1.2741,1.2683,1.15,[],0
24,020773,中信建投量化选股股票C,股票型,23.96,17.78,1.18,0.08,-13.38,1.5,1.2674,1.2617,1.12,[],0
25,019079,国富招瑞优选股票A,股票型,23.62,17.69,1.17,0.02,-13.92,1.5,1.3895,1.3612,1.11,[],0
26,019080,国富招瑞优选股票C,股票型,23.12,17.69,1.14,0.02,-14.01,1.5,1.3808,1.3528,1.09,[],0
27,000628,大成高鑫股票A,股票型,16.3,12.73,1.04,0.4,-12.39,1.5,5.1169,5.1498,0.85,[],0
28,011066,大成高鑫股票C,股票型,15.85,12.73,1.01,0.4,-12.57,1.5,5.0249,5.057,0.83,[],0
29,021979,兴证全球红利量化选股股票A,股票型,14.15,13.86,0.8,0.05,-9.84,1.5,1.102,1.1196,0.71,[],0
30,022518,南方产业智选股票C,股票型,14.04,14.41,0.77,0.1,-13.36,1.5,2.0203,2.0156,0.7,[],0
31,021980,兴证全球红利量化选股股票C,股票型,13.31,13.87,0.74,0.05,-9.88,1.5,1.0961,1.1138,0.67,[],0
32,022344,景顺长城红利量化选股股票A,股票型,11.94,12.18,0.73,0.13,-6.63,1.5,1.066,1.0832,0.63,[],0
33,017292,申万菱信红利量化选股股票A,股票型,12.13,14.5,0.63,0.08,-8.76,1.5,1.1419,1.1523,0.6,[],0
34,022345,景顺长城红利量化选股股票C,股票型,11.42,12.19,0.69,0.13,-6.63,1.5,1.0632,1.0805,0.6,[],0
35,021187,摩根红利优选股票A,股票型,12.8,17.05,0.57,0.07,-10.7,1.5,1.1323,1.1525,0.6,[],0
36,021188,摩根红利优选股票C,股票型,12.05,17.04,0.53,0.07,-10.97,1.5,1.1246,1.1448,0.57,[],0
37,017293,申万菱信红利量化选股股票C,股票型,11.59,14.5,0.59,0.08,-8.86,1.5,1.1355,1.1463,0.57,[],0
38,022358,民生加银龙头优选股票C,股票型,10.45,14.75,0.51,-0.04,-10.71,1.5,1.1018,1.1334,0.52,[],0
39,021570,华夏红利量化选股股票A,股票型,10.73,17.65,0.44,0.02,-10.34,1.5,1.1199,1.1413,0.5,[],0
40,021571,华夏红利量化选股股票C,股票型,10.25,17.65,0.41,0.02,-10.52,1.5,1.1145,1.1358,0.48,[],0
41,019124,博道红利智航股票A,股票型,9.7,16.13,0.42,0.05,-14.13,1.5,1.1789,1.1938,0.47,[],0
